,keyword,text,target
0,earthquak,  deed reason earthquak may allah forgiv us,1
1,forest fire,  forest fire near la rang ask canada,1
2,evacu,  resid ask shelter place notifi offic evacu shelter place order expect,1
3,wildfir,  peopl receiv wildfir evacu order california,1
4,wildfir,  got sent photo rubi alaska smoke wildfir pour school,1
5,wildfir,  rockyfir updat california hwi close direct due lake counti fire caffr wildfir,1
6,disast,  flood disast heavi rain caus flash flood street manit colorado spring area,1
7,fire,  top hill see fire wood,1
8,emerg,  emerg evacu happen build across street,1
9,tornado,  afraid tornado come area,1
10,heat wave,  three peopl die heat wave far,1
11,flood,  haha south tampa get flood hah wait second live south tampa gon na gon na fack flood,1
12,flood,  rain flood florida tampala tampa day lost count,1
13,flood,  flood bago myanmar arriv bago,1
14,crash,  damag school bu multi car crash break,1
15,other,  man,0
16,other,  love fruit,0
17,other,  summer love,0
18,other,  car fast,0
19,other,  goooooooaaaaaal,0
20,other,  ridicul,0
21,other,  london cool,0
22,other,  love ski,0
23,other,  wonder day,0
24,other,  looooool,0
25,other,  way eat shit,0
26,other,  ny last week,0
27,other,  love girlfriend,0
28,other,  cool,0
29,other,  like pasta,0
30,other,  end,0
31,ablaze,  bbcmtd wholesal market ablaz,1
32,ablaze,  alway tri bring heavi metal rt,0
33,ablaze,  africanbaz break news nigeria flag set ablaz aba,1
34,ablaze,  cri set ablaz,0
35,ablaze,  plu side look sky last night ablaz,0
36,ablaze,  phdsquar muff built much hype around new acquisit doubt set epi ablaz season,0
37,ablaze,  inc offic labia set ablaz,1
38,ablaze,  barbado bridgetin jamaica two car set ablaz santa crub head st elizabeth polic superintend,1
39,ablaze,  ablaz lord,0
40,ablaze,  check,0
41,ablaze,  outsid ablaz aliv dead insid,0
42,ablaze,  awesom time visit cfc head offic ancon site ablaz thank tit via take care us,0
43,ablaze,  soosoo pump ablaz southridgelif,0
44,ablaze,  want set chicago ablaz preach hotel,0
45,ablaze,  gain follow last week know stat grow,0
46,ablaze,  west burn thousand wildfir ablaz california alon,1
47,ablaze,  build perfect trackless life leav street ablaz,0
48,ablaze,  check,0
49,ablaze,  first night retain quit weird better get use wear everi singl night next year least,0
50,ablaze,  deputi man shot brighton home set ablaz,1
51,ablaze,  man wife get six year jail set ablaz niec,1
52,ablaze,  santa crub head st elizabeth polic superintend afford salmon r,0
53,ablaze,  polic arsonist deliber set black church north carolina ablaz,1
54,ablaze,  nich el bestial alexin ranch happi see teammat train hard goodnight gunner,0
55,ablaze,  turd trampl turkmen flag later set ablaz other vandal offic turkmen front dial,1
56,ablaze,  truck ablaz r voortrekk ave outsid tambo intl cargo section,1
57,ablaze,  set heart ablaz everi citi gift everi skylin like kiss upon lip,0
58,ablaze,  sky ablaz tonight lo angel expect ig fb fill sunset shot know peep,0
59,ablaze,  west burn thousand wildfir ablaz california alon climat energi,1
60,ablaze,  revel wmk video mean mac farewel ablaz wmk en rout gtxrwm,0
61,ablaze,  progress greet month student would set pen ablaz torch public,0
62,ablaze,  rent ablaz amp jacinth secret k fallen sky edit mar,0
63,ablaze,  vista steve fire someth els california tinderbox clown set hood ablaz news,1
64,ablaze,  nonplay rent ablaz amp buff magnitud ed,0
65,ablaze,  nxwestmidland huge fire wholesal market ablaz,1
66,ablaze,  ablaz time talk go know make due work,0
67,accident,  kid cuz got bicycl accid amp split testicl imposs kid michael father,0
68,accident,  accid w nashvilletraff traffic move slower usual,1
69,accident,  accid center lane block santaclara us nb great america pkwi bavaria traffic,1
70,accident,  personalinjuri accid summer read advic amp see solicitor help otleyhour,0
71,accident,  loui caraccidentlawy speed among top caus teen accid car accid tee,0
72,accident,  report motor vehicl accid curri herman rd near stephanion involv overturn vehicl pleas use,1
73,accident,  bigrigradio live accid awar,1
74,accident,  mile marker south mooresvil retel vehicl accid ramp close pm,1
75,accident,  rt sleepjunki sleep pill doubl risk car accid,0
76,accident,  accid knew gon happen,0
77,accident,  traffic accid n cabrilla hwi magellan av mir,1
